reporter_country,reporter_iso3,year,tech,hs_codes_used,tariff_mfn_simple_avg,n_hs_lines_underlying,nomen_code,datatype,source
China,CHN,2010,evs,870390,25.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2011,solar_pv,854140,0.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2011,wind,850231,8.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2011,batteries,850780,12.0,3,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2011,evs,870390,25.0,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2012,solar_pv,854140,0.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2012,wind,850231,8.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2012,batteries,850760+850780,12.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2012,evs,870390,25.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2013,solar_pv,854140,0.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2013,wind,850231,8.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2013,batteries,850760+850780,12.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2013,evs,870390,25.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2014,solar_pv,854140,0.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2014,wind,850231,8.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2014,batteries,850760+850780,10.333,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2014,evs,870390,25.0,13,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2015,solar_pv,854140,0.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2015,wind,850231,8.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2015,batteries,850760+850780,11.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2015,evs,870390,25.0,9,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2016,solar_pv,854140,0.0,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2016,wind,850231,8.0,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2016,batteries,850760+850780,12.0,6,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2016,evs,870390,25.0,9,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2017,solar_pv,854140,0.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2017,wind,850231,8.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2017,batteries,850760+850780,12.0,6,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2017,evs,870380+870390,25.0,10,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2018,solar_pv,854140,0.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2018,wind,850231,8.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2018,batteries,850760+850780,12.0,6,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2018,evs,870380+870390,25.0,10,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2019,solar_pv,854140,0.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2019,wind,850231,8.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2019,batteries,850760+850780,10.0,6,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2019,evs,870380+870390,15.0,10,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2020,solar_pv,854140,0.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2020,wind,850231,8.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2020,batteries,850760+850780,10.0,6,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2020,evs,870380+870390,15.0,11,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2021,solar_pv,854140,0.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2021,wind,850231,8.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2021,batteries,850760+850780,10.0,7,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2021,evs,870380+870390,15.0,11,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2022,solar_pv,854142+854143,0.0,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2022,wind,850231,8.0,1,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2022,batteries,850760+850780,10.0,7,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2022,evs,870380+870390,15.0,11,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2023,solar_pv,854142+854143,0.0,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2023,wind,850231,8.0,1,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2023,batteries,850760+850780,10.0,7,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
China,CHN,2023,evs,870380+870390,15.0,11,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2003,solar_pv,854140,0.0,5,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2003,wind,850231,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2003,batteries,850780,3.4,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2003,evs,870390,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2004,solar_pv,854140,0.0,5,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2004,wind,850231,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2004,batteries,850780,3.4,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2004,evs,870390,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2005,solar_pv,854140,0.0,5,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2005,wind,850231,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2005,batteries,850780,3.4,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2005,evs,870390,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2006,solar_pv,854140,0.0,5,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2006,wind,850231,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2006,batteries,850780,3.4,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2006,evs,870390,2.5,1,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2007,solar_pv,854140,0.0,5,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2008,solar_pv,854140,0.0,5,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2008,wind,850231,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2008,batteries,850780,3.4,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2008,evs,870390,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2009,solar_pv,854140,0.0,5,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2009,wind,850231,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2009,batteries,850780,3.4,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2009,evs,870390,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2010,solar_pv,854140,0.0,5,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2010,wind,850231,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2010,batteries,850780,3.4,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2010,evs,870390,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2011,solar_pv,854140,0.0,5,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2011,wind,850231,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2011,batteries,850780,3.4,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2011,evs,870390,2.5,1,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2012,solar_pv,854140,0.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2012,wind,850231,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2012,batteries,850760+850780,3.4,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2012,evs,870390,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2013,solar_pv,854140,0.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2013,wind,850231,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2013,batteries,850760+850780,3.4,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2013,evs,870390,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2014,solar_pv,854140,0.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2014,wind,850231,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2014,batteries,850760+850780,3.4,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2014,evs,870390,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2015,solar_pv,854140,0.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2015,wind,850231,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2015,batteries,850760+850780,3.4,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2015,evs,870390,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2016,solar_pv,854140,0.0,5,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2016,wind,850231,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2016,batteries,850760+850780,3.4,3,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2016,evs,870390,2.5,1,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2017,solar_pv,854140,0.0,5,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2017,wind,850231,2.0,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2017,batteries,850760+850780,3.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2017,evs,870380+870390,2.0,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2018,solar_pv,854140,0.0,5,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2018,wind,850231,2.5,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2018,batteries,850760+850780,3.4,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2018,evs,870380+870390,2.5,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2019,solar_pv,854140,0.0,5,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2019,wind,850231,2.5,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2019,batteries,850760+850780,3.4,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2019,evs,870380+870390,2.5,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2020,solar_pv,854140,0.0,5,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2020,wind,850231,2.5,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2020,batteries,850760+850780,3.4,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2020,evs,870380+870390,2.5,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2021,solar_pv,854140,0.0,5,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2021,wind,850231,2.5,1,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2021,batteries,850760+850780,3.4,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2021,evs,870380+870390,2.5,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2022,solar_pv,854142+854143,0.0,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2022,wind,850231,2.5,1,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2022,batteries,850760+850780,3.4,5,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2022,evs,870380+870390,2.5,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2023,solar_pv,854142+854143,0.0,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2023,wind,850231,2.5,1,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2023,batteries,850760+850780,3.4,3,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
United States,USA,2023,evs,870380+870390,2.5,2,H6,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2003,solar_pv,854140,0.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2003,wind,850231,1.35,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2003,batteries,850780,2.4,9,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2003,evs,870390,10.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2004,solar_pv,854140,0.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2004,wind,850231,1.35,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2004,batteries,850780,2.4,9,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2004,evs,870390,10.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2005,solar_pv,854140,0.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2005,wind,850231,1.35,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2005,batteries,850780,2.43,10,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2005,evs,870390,10.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2006,solar_pv,854140,0.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2006,wind,850231,1.35,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2006,batteries,850780,1.964,11,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2006,evs,870390,10.0,2,Harmonized System 2002,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2007,solar_pv,854140,0.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2007,wind,850231,1.35,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2007,batteries,850780,1.964,11,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2007,evs,870390,10.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2008,solar_pv,854140,0.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2008,wind,850231,1.35,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2008,batteries,850780,2.077,13,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2008,evs,870390,10.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2009,solar_pv,854140,0.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2009,wind,850231,1.35,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2009,batteries,850780,2.025,12,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2009,evs,870390,10.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2010,solar_pv,854140,0.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2010,wind,850231,1.35,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2010,batteries,850780,2.025,12,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2010,evs,870390,10.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2011,solar_pv,854140,0.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2011,wind,850231,1.35,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2011,batteries,850780,2.077,13,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2011,evs,870390,10.0,2,Harmonized System 2007,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2012,solar_pv,854140,0.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2012,wind,850231,1.35,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2012,batteries,850760+850780,1.832,9,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2012,evs,870390,10.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2013,solar_pv,854140,0.0,7,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2013,wind,850231,1.35,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2013,batteries,850760+850780,1.921,15,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2013,evs,870390,10.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2014,solar_pv,854140,0.0,7,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2014,wind,850231,1.35,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2014,batteries,850760+850780,1.935,17,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2014,evs,870390,10.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2015,solar_pv,854140,0.0,7,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2015,wind,850231,1.35,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2015,batteries,850760+850780,2.166,19,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2015,evs,870390,10.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2016,solar_pv,854140,0.0,11,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2016,wind,850231,1.35,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2016,batteries,850760+850780,2.081,27,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2016,evs,870390,10.0,2,Harmonized System 2012,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2017,solar_pv,854140,0.0,11,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2017,wind,850231,1.35,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2017,batteries,850760+850780,2.081,27,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2017,evs,870380+870390,10.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2018,solar_pv,854140,0.0,19,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2018,wind,850231,1.35,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2018,batteries,850760+850780,2.066,25,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2018,evs,870380+870390,10.0,3,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
Germany,DEU,2019,solar_pv,854140,0.0,2,H5,Reported,WITS/UNCTAD TRAINS (MFN applied to World)
