country,iso3,year,tech,capacity_gw,source,notes
Argentina,ARG,2009,wind,0.0009,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2010,onshore_wind,0.0011,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2010,solar_pv,0.0044,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2010,wind,0.0011,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2011,onshore_wind,0.0074,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2011,solar_pv,0.0061,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2011,wind,0.0074,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2012,onshore_wind,0.11,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2012,solar_pv,0.0115,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2012,wind,0.11,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2013,onshore_wind,0.163,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2013,solar_pv,0.0138,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2013,wind,0.163,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2014,onshore_wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2014,solar_pv,0.0137,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2014,wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2015,onshore_wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2015,solar_pv,0.0142,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2015,wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2016,onshore_wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2016,solar_pv,0.0137,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2016,wind,0.1882,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2017,onshore_wind,0.2276,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2017,solar_pv,0.0136,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2017,wind,0.2276,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2018,onshore_wind,0.7512,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2018,solar_pv,0.1961,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2018,wind,0.7512,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2019,onshore_wind,1.6095,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2019,solar_pv,0.4459,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2019,wind,1.6095,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2020,onshore_wind,2.624,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2020,solar_pv,0.7679,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2020,wind,2.624,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2021,onshore_wind,3.2922,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2021,solar_pv,1.0769,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2021,wind,3.2922,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2022,onshore_wind,3.3102,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2022,solar_pv,1.1127,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2022,wind,3.3102,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2023,onshore_wind,3.7063,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2023,solar_pv,1.4053,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2023,wind,3.7063,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2024,onshore_wind,4.3203,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2024,solar_pv,1.7406,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2024,wind,4.3203,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Argentina,ARG,2025,onshore_wind,4.4965,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2025,solar_pv,2.5918,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Argentina,ARG,2025,wind,4.4965,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2003,onshore_wind,0.19,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2003,solar_pv,0.039,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2003,wind,0.19,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2004,onshore_wind,0.379,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2004,solar_pv,0.046,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2004,wind,0.379,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2005,onshore_wind,0.74,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2005,solar_pv,0.052,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2005,wind,0.74,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2006,onshore_wind,0.819,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2006,solar_pv,0.061,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2006,wind,0.819,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2007,onshore_wind,1.249,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2007,solar_pv,0.07,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2007,wind,1.249,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2008,onshore_wind,1.441,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2008,solar_pv,0.082,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2008,wind,1.441,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2009,onshore_wind,1.703,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2009,solar_pv,0.329,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2009,wind,1.703,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2010,onshore_wind,1.864,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2010,solar_pv,1.088,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2010,wind,1.864,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2011,onshore_wind,2.127,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2011,solar_pv,1.418,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2011,wind,2.127,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2012,onshore_wind,2.561,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2012,solar_pv,2.508,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2012,wind,2.561,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2013,onshore_wind,3.221,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2013,solar_pv,3.309,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2013,wind,3.221,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2014,onshore_wind,3.797,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2014,solar_pv,4.134,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2014,wind,3.797,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2015,onshore_wind,4.318,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2015,solar_pv,5.033,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2015,wind,4.318,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2016,onshore_wind,4.683,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2016,solar_pv,5.878,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2016,wind,4.683,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2017,onshore_wind,5.407,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2017,solar_pv,7.2382,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2017,wind,5.407,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2018,onshore_wind,6.409,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2018,solar_pv,11.1248,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2018,wind,6.409,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2019,onshore_wind,7.881,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2019,solar_pv,15.4497,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2019,wind,7.881,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2020,onshore_wind,10.207,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2020,solar_pv,19.7696,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2020,wind,10.207,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2021,onshore_wind,10.555,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2021,solar_pv,24.3936,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2021,wind,10.555,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2022,onshore_wind,11.966,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2022,solar_pv,28.8841,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2022,wind,11.966,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2023,onshore_wind,12.908,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2023,solar_pv,30.6719,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2023,wind,12.908,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2024,onshore_wind,15.563,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2024,solar_pv,35.9949,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2024,wind,15.563,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Australia,AUS,2025,onshore_wind,16.348,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2025,solar_pv,41.0649,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Australia,AUS,2025,wind,16.348,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2003,onshore_wind,0.067,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2003,solar_pv,0.001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2003,wind,0.067,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2004,onshore_wind,0.096,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2004,solar_pv,0.001,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2004,wind,0.096,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2005,onshore_wind,0.167,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2005,solar_pv,0.002,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2005,wind,0.167,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2006,onshore_wind,0.212,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2006,solar_pv,0.002,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2006,wind,0.212,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2007,onshore_wind,0.276,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2007,solar_pv,0.02,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2007,wind,0.276,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2008,onshore_wind,0.324,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2008,solar_pv,0.062,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2008,wind,0.324,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Belgium,BEL,2009,offshore_wind,0.032,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2009,onshore_wind,0.576,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2009,solar_pv,0.386,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2009,wind,0.608,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2010,offshore_wind,0.1965,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2010,onshore_wind,0.7069,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2010,solar_pv,0.8402,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2010,wind,0.9034,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2011,offshore_wind,0.1965,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2011,onshore_wind,0.87,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2011,solar_pv,1.8649,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2011,wind,1.0665,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2012,offshore_wind,0.381,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2012,onshore_wind,0.9859,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2012,solar_pv,2.5955,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2012,wind,1.3669,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2013,offshore_wind,0.7077,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2013,onshore_wind,1.0613,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2013,solar_pv,2.864,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2013,wind,1.769,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2014,offshore_wind,0.7077,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2014,onshore_wind,1.225,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2014,solar_pv,2.9771,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2014,wind,1.9327,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2015,offshore_wind,0.712,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2015,onshore_wind,1.4693,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2015,solar_pv,3.1081,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2015,wind,2.1813,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2016,offshore_wind,0.7122,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2016,onshore_wind,1.6215,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2016,solar_pv,3.2912,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2016,wind,2.3337,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2017,offshore_wind,0.8772,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2017,onshore_wind,1.9022,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2017,solar_pv,3.6004,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2017,wind,2.7794,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2018,offshore_wind,1.1859,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2018,onshore_wind,2.119,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2018,solar_pv,3.9628,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2018,wind,3.3049,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2019,offshore_wind,1.5555,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2019,onshore_wind,2.3082,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2019,solar_pv,4.523,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2019,wind,3.8637,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2020,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2020,onshore_wind,2.411,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2020,solar_pv,5.453,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2020,wind,4.6728,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2021,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2021,onshore_wind,2.6866,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2021,solar_pv,5.933,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2021,wind,4.9484,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2022,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2022,onshore_wind,3.0416,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2022,solar_pv,6.7798,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2022,wind,5.3034,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2023,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2023,onshore_wind,3.1922,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2023,solar_pv,8.3604,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2023,wind,5.454,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2024,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2024,onshore_wind,3.3826,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2024,solar_pv,9.6424,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2024,wind,5.6444,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Belgium,BEL,2025,offshore_wind,2.2618,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2025,onshore_wind,3.5892,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2025,solar_pv,10.3975,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Belgium,BEL,2025,wind,5.851,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,offshore component
Brazil,BRA,2003,onshore_wind,0.0198,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Brazil,BRA,2003,solar_pv,0.0023,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Brazil,BRA,2003,wind,0.0198,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Brazil,BRA,2004,onshore_wind,0.0246,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Brazil,BRA,2004,solar_pv,0.0023,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Brazil,BRA,2004,wind,0.0246,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,onshore component
Brazil,BRA,2005,onshore_wind,0.0246,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
Brazil,BRA,2005,solar_pv,0.0023,IRENA IRENASTAT Country_ELECCAP_2026_H1_v-PX 1.px,
